web-scraper-order,web-scraper-start-url,names,assists,corners_taken,offsides,matches_played,country
"1624985351-6815","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Ķigurs","0","0","0","3","Latvia - Midfielder"
"1624985351-6684","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Belotti","3","0","2","7","Italy - Forward"
"1624985351-6306","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Baranov","0","0","0","4","Estonia - Defender"
"1624985351-6978","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Cemîrtan","0","0","1","2","Moldova - Forward"
"1624985351-7188","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Glesnes","-","-","-","-","Norway - Defender"
"1624985351-7279","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Robinson","0","0","1","6","Republic of Ireland - Forward"
"1624985351-6030","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Lončar","0","0","0","3","Bosnia and Herzegovina - Defender"
"1624985351-5897","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","B. Hüseynov","0","0","0","6","Azerbaijan - Defender"
"1624985351-7803","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","A. Williams","0","0","0","2","Wales - Defender"
"1624985351-7536","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Bero","0","0","1","1","Slovakia - Midfielder"
"1624985351-7300","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Talbot","-","-","-","-","Republic of Ireland - Goalkeeper"
"1624985351-6957","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Muscat","0","0","0","1","Malta - Defender"
"1624985351-6483","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Amiri","0","0","0","2","Germany - Midfielder"
"1624985351-6830","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Sorokins","-","-","-","-","Latvia - Defender"
"1624985351-6686","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Bonucci","3","0","0","10","Italy - Defender"
"1624985351-5975","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Carrasco","4","8","2","7","Belgium - Midfielder"
"1624985351-7426","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Tosi","-","-","-","-","San Marino - Midfielder"
"1624985351-7274","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","McCarthy","0","2","0","1","Republic of Ireland - Midfielder"
"1624985351-7138","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Lewis","0","0","0","8","Northern Ireland - Defender"
"1624985351-6797","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Rakels","0","9","2","5","Latvia - Midfielder"
"1624985351-5812","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","K. Hovhannisyan","1","0","1","8","Armenia - Defender"
"1624985351-6535","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Bakakis","0","1","0","8","Greece - Defender"
"1624985351-7449","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Burke","0","0","0","6","Scotland - Forward"
"1624985351-6015","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Kvržić","1","0","1","3","Bosnia and Herzegovina - Midfielder"
"1624985351-6610","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","J. Gudmundsson","2","5","1","6","Iceland - Forward"
"1624985351-6314","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Miller","0","0","0","1","Estonia - Midfielder"
"1624985351-7048","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Djordjević","-","-","-","-","Montenegro - Forward"
"1624985351-7761","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Pyatov","0","0","0","8","Ukraine - Goalkeeper"
"1624985351-7150","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Ballard","-","-","-","-","Northern Ireland - Defender"
"1624985351-6184","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Antoniades","-","-","-","-","Cyprus - Defender"
"1624985351-7351","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Niță","-","-","-","-","Romania - Goalkeeper"
"1624985351-5745","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Abrashi","1","0","0","8","Albania - Midfielder"
"1624985351-7516","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Grujić","-","-","-","-","Serbia - Midfielder"
"1624985351-7415","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","E. Benedettini","0","0","0","4","San Marino - Goalkeeper"
"1624985351-6538","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Donis","0","0","2","4","Greece - Forward"
"1624985351-7281","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Randolph","0","0","0","9","Republic of Ireland - Goalkeeper"
"1624985351-6021","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Hodžić","0","0","2","4","Bosnia and Herzegovina - Forward"
"1624985351-6848","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","S. Wolfinger","0","0","0","7","Liechtenstein - Midfielder"
"1624985351-7425","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attacking/","Zonzini","-","-","-","-","San Marino - Midfielder"
