web-scraper-order,web-scraper-start-url,names,total_attempts,attempts_on_target,attempts_off_target,attempts_woodwork,attempts_crossbar,attempts_post,attempts_blocked,matches_played,country
"1624975355-3994","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","A. Golinucci","2","2","7","-","0","0","0","7","San Marino - Midfielder"
"1624975355-4139","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Mihalík","0","0","2","-","0","0","0","2","Slovakia - Midfielder"
"1624975355-2512","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Stasevich","14","5","7","-","0","1","4","7","Belarus - Midfielder"
"1624975355-4207","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Hermoso","4","3","4","-","0","0","0","4","Spain - Defender"
"1624975355-4254","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Gagliolo","2","0","1","-","0","0","1","1","Sweden - Defender"
"1624975355-2451","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ulmer","4","1","8","-","0","0","2","8","Austria - Defender"
"1624975355-2362","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Selahi","0","0","1","-","0","0","0","1","Albania - Midfielder"
"1624975355-2813","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Frýdek","-","-","-","-","-","-","-","-","Czech Republic - Defender"
"1624975355-2319","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ronaldo","65","28","8","-","0","0","19","8","Portugal - Forward"
"1624975355-2697","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Kirilov","-","-","-","-","-","-","-","-","Bulgaria - Forward"
"1624975355-2647","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Nedelev","8","4","6","-","0","0","3","6","Bulgaria - Midfielder"
"1624975355-3054","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Kroos","15","8","5","-","0","0","1","5","Germany - Midfielder"
"1624975355-2984","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ben Yedder","8","3","6","-","0","0","1","6","France - Forward"
"1624975355-3613","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ivanić","4","1","2","-","0","0","0","2","Montenegro - Midfielder"
"1624975355-2359","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Qose","0","0","2","-","0","0","0","2","Albania - Midfielder"
"1624975355-2634","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Pirić","0","0","1","-","0","0","0","1","Bosnia and Herzegovina - Goalkeeper"
"1624975355-3632","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Šćekić","0","0","2","-","0","0","0","2","Montenegro - Midfielder"
"1624975355-2442","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Alaba","17","5","5","-","0","0","5","5","Austria - Defender"
"1624975355-3394","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Rakels","5","1","5","-","0","0","1","5","Latvia - Midfielder"
"1624975355-3855","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Daniel Carriço","-","-","-","-","-","-","-","-","Portugal - Defender"
"1624975355-3289","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Verratti","7","2","7","-","0","0","1","7","Italy - Midfielder"
"1624975355-2713","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Lovren","5","1","6","-","0","0","1","6","Croatia - Defender"
"1624975355-3657","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Boadu","3","2","1","-","0","0","1","1","Netherlands - Forward"
"1624975355-3266","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Shlomo","-","-","-","-","-","-","-","-","Israel - Defender"
"1624975355-2663","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Despodov","1","1","6","-","0","0","0","6","Bulgaria - Forward"
"1624975355-3052","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Gnabry","31","14","7","-","0","1","5","7","Germany - Midfielder"
"1624975355-3408","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Šteinbors","0","0","8","-","0","0","0","8","Latvia - Goalkeeper"
"1624975355-3854","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Renato Sanches","-","-","-","-","-","-","-","-","Portugal - Midfielder"
"1624975355-3397","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Savaļnieks","3","1","8","-","0","1","0","8","Latvia - Midfielder"
"1624975355-2811","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Sadílek","-","-","-","-","-","-","-","-","Czech Republic - Midfielder"
"1624975355-3153","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Valerianos","-","-","-","-","-","-","-","-","Greece - Defender"
"1624975355-2832","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Dalsgaard","1","1","5","-","0","0","0","5","Denmark - Defender"
"1624975355-3688","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Stojanovski","4","2","2","-","0","0","0","2","North Macedonia - Forward"
"1624975355-3339","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Marochkin","1","0","7","-","0","0","0","7","Kazakhstan - Defender"
"1624975355-4202","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Isco","8","2","2","-","0","1","1","2","Spain - Midfielder"
"1624975355-2978","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Griezmann","36","15","10","-","1","0","6","10","France - Forward"
"1624975355-3320","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Islamkhan","13","6","8","-","1","0","3","8","Kazakhstan - Midfielder"
"1624975355-4076","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Katai","5","2","4","-","0","0","1","4","Serbia - Midfielder"
"1624975355-4323","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Çağlar Söyüncü","1","0","4","-","0","0","1","4","Turkey - Defender"
"1624975355-4057","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","McLaughlin","0","0","1","-","0","0","0","1","Scotland - Goalkeeper"
"1624975355-2599","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Casteels","-","-","-","-","-","-","-","-","Belgium - Goalkeeper"
"1624975355-2460","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Schaub","1","1","3","-","0","0","0","3","Austria - Midfielder"
"1624975355-3329","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Abiken","6","3","4","-","0","0","0","4","Kazakhstan - Midfielder"
"1624975355-3574","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ambros","1","1","2","-","0","0","0","2","Moldova - Forward"
"1624975355-2545","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Shikavka","0","0","1","-","0","0","0","1","Belarus - Forward"
"1624975355-2410","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Avetisyan","3","1","5","-","0","0","0","5","Armenia - Midfielder"
"1624975355-3119","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Mantalos","11","2","4","-","0","1","3","4","Greece - Midfielder"
"1624975355-3393","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Dubra","5","1","8","-","0","0","1","8","Latvia - Defender"
"1624975355-3527","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Nwoko","12","2","9","-","0","0","5","9","Malta - Forward"
"1624975355-3684","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Nikolov","9","5","11","-","0","0","2","11","North Macedonia - Midfielder"
"1624975355-2885","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Sorga","7","3","5","-","0","0","1","5","Estonia - Forward"
"1624975355-3960","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Smolov","4","2","2","-","0","0","0","2","Russia - Forward"
"1624975355-3972","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Guilherme","0","0","9","-","0","0","0","9","Russia - Goalkeeper"
"1624975355-2537","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Sivakov","0","0","2","-","0","0","0","2","Belarus - Defender"
"1624975355-3671","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Vermeer","-","-","-","-","-","-","-","-","Netherlands - Goalkeeper"
"1624975355-3754","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","T. Elyounoussi","8","3","7","-","0","0","0","7","Norway - Forward"
"1624975355-2629","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Bajić","0","0","3","-","0","0","0","3","Bosnia and Herzegovina - Forward"
"1624975355-3910","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Nedelcearu","2","1","6","-","0","0","0","6","Romania - Defender"
"1624975355-3888","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Travers","-","-","-","-","-","-","-","-","Republic of Ireland - Goalkeeper"
"1624975355-2332","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Puşcaş","31","14","11","-","0","1","6","11","Romania - Forward"
"1624975355-4330","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Nazım Sangare","0","0","1","-","0","0","0","1","Turkey - Defender"
"1624975355-2828","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Stryger","2","0","8","-","0","0","0","8","Denmark - Defender"
"1624975355-3980","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Chernov","-","-","-","-","-","-","-","-","Russia - Defender"
"1624975355-2865","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Rose","1","0","3","-","0","0","1","3","England - Defender"
"1624975355-2488","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ren. Dadaşov","1","1","4","-","0","0","0","4","Azerbaijan - Forward"
"1624975355-4033","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","McKenna","6","2","6","-","0","0","3","6","Scotland - Defender"
"1624975355-2509","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Magomedaliyev","-","-","-","-","-","-","-","-","Azerbaijan - Goalkeeper"
"1624975355-2340","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Roshi","5","2","7","-","0","0","2","7","Albania - Midfielder"
"1624975355-3927","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Ștefan","1","0","1","-","0","0","1","1","Romania - Defender"
"1624975355-3553","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Caruana","0","0","1","-","0","0","0","1","Malta - Midfielder"
"1624975355-4053","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Taylor","0","0","3","-","0","0","0","3","Scotland - Defender"
"1624975355-2368","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Binaku","-","-","-","-","-","-","-","-","Albania - Midfielder"
"1624975355-3552","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","J. Pisani","0","0","1","-","0","0","0","1","Malta - Defender"
"1624975355-3236","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Seba","16","4","4","-","0","0","7","4","Israel - Midfielder"
"1624975355-3416","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Punculs","0","0","2","-","0","0","0","2","Latvia - Forward"
"1624975355-3609","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Bećiraj","11","2","8","-","0","0","7","8","Montenegro - Forward"
"1624975355-2564","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Rios","-","-","-","-","-","-","-","-","Belarus - Midfielder"
"1624975355-2801","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Hušbauer","0","0","2","-","0","0","0","2","Czech Republic - Midfielder"
"1624975355-4100","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Rodić","0","0","1","-","0","0","0","1","Serbia - Defender"
"1624975355-3878","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/attempts/","Judge","0","0","2","-","0","0","0","2","Republic of Ireland - Midfielder"
