web-scraper-order,web-scraper-start-url,names,balls_recovered,tackles,clearances_attempted,matches_played,country
"1624991892-346","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Isa","5","1","1","5","Bulgaria - Forward"
"1624991892-1251","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Carp","18","5","18","7","Moldova - Midfielder"
"1624991892-484","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Hušbauer","1","0","1","2","Czech Republic - Midfielder"
"1624991892-1145","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Slivka","24","2","5","6","Lithuania - Midfielder"
"1624991892-1645","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Belyaev","7","0","3","1","Russia - Defender"
"1624991892-1450","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Svensson","5","0","2","1","Norway - Defender"
"1624991892-627","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Wardum","-","-","-","-","Faroe Islands - Defender"
"1624991892-256","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Carrasco","17","1","1","7","Belgium - Midfielder"
"1624991892-1342","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Bergwijn","7","0","1","4","Netherlands - Forward"
"1624991892-1183","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Barreiro","25","3","11","7","Luxembourg - Midfielder"
"1624991892-997","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Gollini","0","0","0","1","Italy - Goalkeeper"
"1624991892-1354","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Vermeer","-","-","-","-","Netherlands - Goalkeeper"
"1624991892-1340","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Babel","9","0","1","7","Netherlands - Forward"
"1624991892-1909","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Mata","0","0","0","1","Spain - Forward"
"1624991892-546","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/defending/","Kane","6","1","6","8","England - Forward"
