web-scraper-order,web-scraper-start-url,names,fouls_committed,fouls_suffered,yellow_cards,red_cards,minutes_played,matches_played,country
"1624995139-4849","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Varane","8","3","1","0","810","9","France - Defender"
"1624995139-4394","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Veretilo","3","1","0","0","108","2","Belarus - Defender"
"1624995139-4601","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Mitrović","-","-","-","-","-","-","Croatia - Defender"
"1624995139-5369","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Gerson","7","2","0","0","630","7","Luxembourg - Midfielder"
"1624995139-5470","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Oancea","-","-","-","-","-","-","Moldova - Midfielder"
"1624995139-5042","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Bese","2","3","0","0","72","3","Hungary - Defender"
"1624995139-5365","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","O. Thill","13","4","2","0","608","8","Luxembourg - Midfielder"
"1624995139-4192","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Kucka","21","24","2","0","878","10","Slovakia - Midfielder"
"1624995139-4860","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Kimpembe","3","1","0","0","95","2","France - Defender"
"1624995139-5120","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Tibi","1","4","0","0","390","4","Israel - Defender"
"1624995139-4862","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Matuidi","2","3","0","0","465","6","France - Midfielder"
"1624995139-4960","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Walker","3","5","1","0","719","8","Gibraltar - Midfielder"
"1624995139-5636","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Midtsjø","1","1","0","0","9","1","Norway - Midfielder"
"1624995139-6121","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Tankovic","2","0","0","0","90","1","Sweden - Forward"
"1624995139-4702","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Schmeichel","0","0","1","0","720","8","Denmark - Goalkeeper"
"1624995139-6062","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Morata","6","10","0","0","439","6","Spain - Forward"
"1624995139-4509","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Djurić","-","-","-","-","-","-","Bosnia and Herzegovina - Forward"
"1624995139-6123","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Durmaz","0","1","0","0","17","1","Sweden - Midfielder"
"1624995139-5530","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Boadu","1","2","0","0","45","1","Netherlands - Forward"
"1624995139-5448","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Boiciuc","2","3","0","0","150","4","Moldova - Forward"
"1624995139-4668","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Kozák","1","0","0","0","2","1","Czech Republic - Forward"
"1624995139-4506","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Prevljak","-","-","-","-","-","-","Bosnia and Herzegovina - Forward"
"1624995139-5422","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Hogg","-","-","-","-","-","-","Malta - Goalkeeper"
"1624995139-4838","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Lam","0","0","0","0","31","1","Finland - Defender"
"1624995139-6076","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Bernat","1","7","0","0","324","4","Spain - Defender"
"1624995139-5725","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Hendrick","15","15","1","0","840","9","Republic of Ireland - Midfielder"
"1624995139-5813","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Lazar","-","-","-","-","-","-","Romania - Goalkeeper"
"1624995139-5648","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Glesnes","-","-","-","-","-","-","Norway - Defender"
"1624995139-6133","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/disciplinary/","Larsson","-","-","-","-","-","-","Sweden - Forward"
