web-scraper-order,web-scraper-start-url,names,passing_accuracy,passes_attempted,passes_completed,crossing_accuracy,crosses_attempted,crosses_completed,free-kicks_taken,matches_played,country
"1624976956-5218","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Reabciuk","77.4","308","241","36.6","19","8","8","8","Moldova - Defender"
"1624976956-5375","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Rúben Neves","85.6","232","215","0","1","0","4","5","Portugal - Midfielder"
"1624976956-5242","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Vujačić","79.5","76","61","0","0","0","2","2","Montenegro - Defender"
"1624976956-4611","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Duljević","76.3","100","77","24.5","10","6","0","6","Bosnia and Herzegovina - Midfielder"
"1624976956-5208","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Posmac","84.6","175","146","0","1","0","9","5","Moldova - Defender"
"1624976956-5539","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Radonjić","64.2","118","76","26.6","19","6","0","5","Serbia - Forward"
"1624976956-5418","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Anton","81","165","142","0","3","0","5","3","Romania - Midfielder"
"1624976956-5482","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Bates","94","154","144","0","0","0","3","2","Scotland - Defender"
"1624976956-5678","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Cengiz Ünder","74","55","41","45","10","5","3","2","Turkey - Forward"
"1624976956-4979","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Hermannsson","70","120","84","12.5","5","2","0","4","Iceland - Defender"
"1624976956-4494","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Hinteregger","87.8","444","393","0","1","0","18","8","Austria - Defender"
"1624976956-4745","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/distribution/","Sterling","83.6","262","218","35.7","13","3","0","7","England - Forward"
