web-scraper-order,web-scraper-start-url,names,balls_recovered,goals_conceded,saves_from_penalties,clean_sheets,matches_played,country_position
"1624993329-2213","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Khachaturov","-","-","-","-","-","Armenia - Defender"
"1624993329-4113","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Mert Müldür","-","-","-","-","-","Turkey - Defender"
"1624993329-3547","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Hovland","0","0","0","1","3","Norway - Defender"
"1624993329-3613","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Rafa Silva","0","0","0","2","3","Portugal - Forward"
"1624993329-2119","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Hysaj","0","0","0","2","8","Albania - Defender"
"1624993329-3703","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Iancu","0","0","0","1","1","Romania - Forward"
"1624993329-2540","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Dossa Júnior","0","0","0","0","1","Cyprus - Defender"
"1624993329-3681","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Maxim","0","0","0","3","4","Romania - Midfielder"
"1624993329-2443","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Karabelyov","0","0","0","1","2","Bulgaria - Midfielder"
"1624993329-3500","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Washington","0","0","0","3","5","Northern Ireland - Forward"
"1624993329-3758","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Fomin","-","-","-","-","-","Russia - Midfielder"
"1624993329-2532","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Zachariou","0","0","0","1","2","Cyprus - Forward"
"1624993329-3685","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/goalkeeping/","Nedelcearu","0","0","0","2","6","Romania - Defender"
