web-scraper-order,web-scraper-start-url,names,minutes,goals,matches,country
"1624969693-344","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Beglaryan","-","-","-","Armenia - Goalkeeper"
"1624969693-496","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Benteke","105","3","3","Belgium - Forward"
"1624969693-2291","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Ampadu","389","0","7","Wales - Defender"
"1624969693-1895","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Dzhanaev","-","-","-","Russia - Goalkeeper"
"1624969693-732","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Christensen","465","0","7","Denmark - Defender"
"1624969693-1338","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Göppel","810","0","9","Liechtenstein - Defender"
"1624969693-1690","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Hauge","-","-","-","Norway - undefined"
"1624969693-1826","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Chiricheş","219","0","3","Romania - Defender"
"1624969693-2010","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Vasiljević","-","-","-","Serbia - Goalkeeper"
"1624969693-1407","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","V. Thill","666","0","8","Luxembourg - Midfielder"
"1624969693-2233","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Ozan Kabak","90","0","1","Turkey - Defender"
"1624969693-868","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Lappalainen","257","0","5","Finland - Forward"
"1624969693-1290","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Demhasaj","-","-","-","Kosovo - Forward"
"1624969693-1100","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Könyves","-","-","-","Hungary - Forward"
"1624969693-1973","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Porteous","-","-","-","Scotland - Defender"
"1624969693-1702","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Bereszyński","540","0","6","Poland - Defender"
"1624969693-379","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Lienhart","-","-","-","Austria - Defender"
"1624969693-1858","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Dzyuba","865","9","10","Russia - Forward"
"1624969693-639","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Benković","-","-","-","Croatia - Defender"
"1624969693-248","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Manaj","450","2","5","Albania - Forward"
"1624969693-1252","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Y. Akhmetov","99","0","2","Kazakhstan - Defender"
"1624969693-768","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Winks","270","1","3","England - Midfielder"
"1624969693-924","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Kankava","797","1","9","Georgia - Midfielder"
"1624969693-570","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Bodurov","245","0","3","Bulgaria - Defender"
"1624969693-1795","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Idah","-","-","-","Republic of Ireland - Forward"
"1624969693-760","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Sterling","574","8","7","England - Forward"
"1624969693-1864","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Golovin","661","2","8","Russia - Midfielder"
"1624969693-2164","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Nordfeldt","90","0","1","Sweden - Goalkeeper"
"1624969693-2176","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Johnsson","-","-","-","Sweden - Goalkeeper"
"1624969693-2281","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Shved","-","-","-","Ukraine - Forward"
"1624969693-1656","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Kennedy","-","-","-","Northern Ireland - Forward"
"1624969693-944","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Papunashvili","91","1","4","Georgia - Midfielder"
"1624969693-512","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Višća","713","2","9","Bosnia and Herzegovina - Midfielder"
"1624969693-836","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","R. Joensen","291","0","4","Faroe Islands - Forward"
"1624969693-1859","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Guilherme","810","0","9","Russia - Goalkeeper"
"1624969693-2179","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Xhaka","693","2","8","Switzerland - Midfielder"
"1624969693-1925","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","De Angelis","-","-","-","San Marino - Goalkeeper"
"1624969693-829","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Hansson","707","0","8","Faroe Islands - Midfielder"
"1624969693-2012","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Rockov","-","-","-","Serbia - Goalkeeper"
"1624969693-1734","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Guerreiro","630","0","7","Portugal - Defender"
"1624969693-1660","https://www.uefa.com/uefaeuro-2020/statistics/qualifying/players/","Berge","834","1","9","Norway - Midfielder"
