country,names,position,goals,goals_conceded,minutes_played,matches_played,balls_recovered,saves_from_penalties,clean_sheets,passing_accuracy,passes_attempted,passes_completed,crossing_accuracy,crosses_attempted,crosses_completed,freekicks_taken,fouls_suffered,fouls_committed,yellow_cards,red_cards,balls_recovered,tackles,clearances_attempted,total_attempts,attempts_on_target,attempts_off_target,attempts_crossbar,attempts_post,attempts_blocked,assists,corners_taken,offsides
Austria,Lienhart,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Zulj,Midfielder,0,0,85,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,3,0,2,0,0,1,1,4,0
Austria,Lazaro,Midfielder,2,0,754,9,0,0,5,83.6,407,340,58.1,64,37,13,10,6,2,0,16,1,3,19,5,11,0,0,3,1,37,2
Austria,Arnautovic,Forward,6,0,710,8,0,0,3,81.1,242,197,18.8,5,2,3,5,17,2,0,10,2,0,37,18,11,0,1,8,2,0,13
Austria,Ranftl,Midfielder,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Posch,Defender,1,0,378,5,0,0,3,86.2,258,224,16.6,9,3,10,5,6,1,0,27,6,13,3,1,2,0,0,0,0,0,0
Austria,Ilsanker,Midfielder,0,0,384,8,0,0,4,80.5,244,213,12.5,2,1,9,10,12,1,0,18,5,5,7,0,5,0,1,2,1,1,0
Austria,X. Schlager,Midfielder,0,0,241,3,0,0,1,83.3,117,99,0,2,0,0,5,6,0,0,8,1,3,3,2,1,0,0,0,0,0,0
Austria,Laimer,Midfielder,1,0,589,7,0,0,5,84.2,339,290,28.6,5,2,5,8,21,2,0,30,1,1,10,3,5,0,0,2,4,1,1
Austria,Friedl,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,A. Schlager,Goalkeeper,0,1,90,1,4,0,0,89,27,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Austria,Lindner,Goalkeeper,0,6,360,4,7,0,1,77.8,105,80,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Austria,Burgstaller,Forward,1,0,21,2,0,0,2,0,0,0,0,0,0,0,0,3,1,0,3,0,1,2,1,1,0,0,0,0,0,1
Austria,Strebinger,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Pervan,Goalkeeper,0,1,90,1,2,0,0,95,19,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Alaba,Defender,1,0,448,5,0,0,4,78.6,302,240,40.4,40,16,14,6,3,1,0,11,2,5,17,5,7,0,0,5,0,14,0
Austria,Siebenhandl,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Vallci,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Hinteregger,Defender,1,0,720,8,0,0,3,87.8,444,393,0,1,0,18,5,3,1,0,54,3,32,5,3,1,0,0,1,0,0,0
Austria,Stankovic,Goalkeeper,0,0,360,4,0,0,0,80.8,119,97,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Prodl,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Hinterseer,Forward,0,0,21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Austria,Ulmer,Defender,0,0,720,8,0,0,4,80.1,413,333,51.6,21,11,6,4,6,1,0,45,2,9,4,1,1,0,0,2,0,0,0
Austria,Trimmel,Midfielder,0,0,130,4,0,0,2,77.8,108,84,44.5,14,8,2,2,2,0,0,7,2,6,3,0,0,0,0,3,0,3,1
Austria,Sabitzer,Midfielder,2,0,789,9,0,0,4,80.3,418,336,42.1,30,15,8,18,18,2,0,20,1,2,38,12,13,0,2,13,4,0,5
Austria,Schaub,Midfielder,0,0,122,3,0,0,2,93,91,79,21.3,14,9,2,2,2,0,0,6,0,0,1,1,0,0,0,0,0,8,1
Austria,Onisiwo,Midfielder,0,0,87,4,0,0,2,0,0,0,0,0,0,0,4,3,1,0,3,0,0,4,1,1,0,0,2,0,0,0
Austria,Baumgartlinger,Midfielder,0,0,660,8,0,0,4,89,478,428,12.5,1,1,16,14,11,1,0,36,2,10,4,1,2,1,0,1,0,0,0
Austria,Wober,Defender,0,0,240,3,0,0,0,79.3,142,111,46,10,5,2,1,2,0,0,10,1,8,4,0,3,0,0,1,0,0,0
Austria,Lainer,Defender,1,0,540,6,0,0,3,84.3,358,303,31,23,7,4,6,9,0,0,19,4,13,6,3,2,0,0,1,1,0,0
Austria,Stoger,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Gregoritsch,Forward,1,0,204,6,0,0,4,54.3,70,53,0,0,0,0,4,6,0,0,2,0,1,8,4,3,1,0,1,1,0,2
Austria,Goiginger,Midfielder,0,0,69,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Janko,Forward,0,0,39,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,1
Austria,Ullmann,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Grillitsch,Midfielder,0,0,183,3,0,0,1,91,143,125,20,5,3,4,5,1,0,0,8,0,3,4,1,2,0,0,1,0,0,0
Austria,Kainz,Midfielder,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Austria,Dragovic,Defender,0,0,846,10,0,0,4,92,602,556,10,1,1,19,4,8,2,0,62,12,44,6,3,1,0,0,2,0,0,0
Belgium,Benteke,Forward,3,0,105,3,0,0,2,93,27,23,0,0,0,0,2,1,0,0,2,1,0,8,6,2,0,0,0,0,0,0
Belgium,Vanaken,Midfielder,0,0,180,2,0,0,1,95,145,137,50,2,2,1,1,3,0,0,10,0,0,4,1,3,0,0,0,0,0,0
Belgium,T. Hazard,Midfielder,1,0,601,7,0,0,4,85.7,396,341,31.6,27,9,1,2,12,0,0,33,2,3,8,3,2,0,0,3,2,0,1
Belgium,E. Hazard,Midfielder,5,0,667,8,0,0,5,84.5,556,472,42.6,38,24,10,17,3,0,0,3,0,0,20,12,3,0,0,5,7,29,2
Belgium,Kompany,Defender,0,0,167,2,0,0,2,96.5,184,177,0,0,0,0,0,0,0,0,18,1,1,1,0,0,0,0,1,0,0,0
Belgium,Lukaku,Forward,7,0,405,5,0,0,5,79.6,104,82,6.6,5,1,0,4,2,0,0,3,0,0,26,12,11,0,0,3,4,0,4
Belgium,Sels,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Carrasco,Midfielder,1,0,254,7,0,0,6,87.3,194,174,62,12,9,2,5,7,0,0,17,1,1,11,5,3,0,0,3,4,8,2
Belgium,Castagne,Defender,2,0,450,5,0,0,3,84.6,303,260,40.2,18,10,2,7,5,0,0,10,0,2,6,2,4,0,0,0,1,0,0
Belgium,Mignolet,Goalkeeper,0,1,90,1,1,0,0,100,30,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Tielemans,Midfielder,2,0,675,9,0,0,6,91,636,575,2.8,4,1,6,8,8,0,0,33,5,5,14,3,10,0,0,1,1,0,0
Belgium,Meunier,Defender,1,0,359,4,0,0,4,84.3,242,206,26.5,19,7,0,2,10,0,0,11,1,3,4,1,2,0,0,1,0,0,0
Belgium,Januzaj,Midfielder,0,0,90,2,0,0,2,85.5,42,36,30,5,3,0,0,2,0,0,0,0,0,3,0,3,1,0,0,0,2,0
Belgium,Boyata,Defender,0,0,180,2,0,0,0,97,130,126,0,0,0,7,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0
Belgium,Mechele,Defender,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Vertonghen,Defender,0,0,720,8,0,0,7,92.1,706,653,14.6,9,3,14,6,7,0,0,47,2,13,4,0,1,0,0,3,0,0,0
Belgium,Chadli,Midfielder,2,0,207,4,0,0,4,92.3,138,123,26.3,12,5,1,3,4,0,0,13,1,1,5,3,2,0,0,0,1,0,0
Belgium,Trossard,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Courtois,Goalkeeper,0,2,810,9,15,0,7,89.3,217,191,0,1,0,11,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Belgium,Casteels,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Witsel,Midfielder,0,0,360,4,0,0,3,92.5,291,274,12.5,2,1,7,7,6,1,0,15,1,4,6,4,0,0,0,2,0,0,0
Belgium,Alderweireld,Defender,1,0,900,10,0,0,7,91.4,967,885,20,6,3,26,1,5,0,0,52,1,26,10,3,6,0,0,1,1,0,0
Belgium,Cobbaut,Defender,0,0,90,1,0,0,0,92,77,71,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Belgium,Vermaelen,Defender,1,0,439,7,0,0,7,95.9,338,318,0,0,0,4,2,3,1,0,16,4,22,3,1,1,0,0,1,0,0,0
Belgium,Verschaeren,Midfielder,1,0,57,3,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,2,2,0,0,0,0,4,0
Belgium,Dendoncker,Midfielder,0,0,270,3,0,0,2,91,186,170,33.3,1,1,0,3,5,0,0,12,1,2,0,0,0,0,0,0,0,0,0
Belgium,Batshuayi,Forward,4,0,378,6,0,0,4,60.7,101,70,0,2,0,0,3,14,1,0,2,0,1,16,10,3,0,1,3,1,0,10
Belgium,Origi,Forward,0,0,66,2,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0
